,name,match_code,stage_detail,base_points,total_points,cumulative_total_points,cumulative_avg_total_points,difference
217,Peter Popular,M36,03. Groups - Matchday 3,3,6,16,11.8,4.199999999999999
218,Peter Popular,M37,04. KO - Round of 16,3,3,19,14.1,4.9
219,Peter Popular,M38,04. KO - Round of 16,0,0,19,14.3,4.699999999999999
220,Peter Popular,M39,04. KO - Round of 16,1,1,20,15.7,4.300000000000001
221,Peter Popular,M40,04. KO - Round of 16,0,0,20,15.7,4.300000000000001
222,Peter Popular,M41,04. KO - Round of 16,0,0,20,15.7,4.300000000000001
223,Peter Popular,M42,04. KO - Round of 16,1,1,21,16.8,4.199999999999999
224,Peter Popular,M43,04. KO - Round of 16,1,1,22,17.2,4.800000000000001
225,Peter Popular,M44,04. KO - Round of 16,0,0,22,17.2,4.800000000000001
226,Peter Popular,M45,05. KO - Quarter Final,0,0,22,18.2,3.8000000000000007
227,Peter Popular,M46,05. KO - Quarter Final,0,0,22,18.4,3.6000000000000014
228,Peter Popular,M47,05. KO - Quarter Final,3,3,25,20.7,4.300000000000001
229,Peter Popular,M48,05. KO - Quarter Final,0,0,25,21.3,3.6999999999999993
230,Peter Popular,M49,06. KO - Semi Final,3,6,31,23.1,7.899999999999999
231,Peter Popular,M50,06. KO - Semi Final,0,0,31,23.9,7.100000000000001
232,Rando Randal,M01,01. Groups - Matchday 1,1,1,1,1.6,-0.6000000000000001
233,Rando Randal,M03,01. Groups - Matchday 1,0,0,1,2.2,-1.2000000000000002
234,Rando Randal,M05,01. Groups - Matchday 1,1,2,3,3.9,-0.8999999999999999
235,Rando Randal,M08,01. Groups - Matchday 1,0,0,3,4.8,-1.7999999999999998
236,Rando Randal,M12,01. Groups - Matchday 1,1,1,4,6.2,-2.2
237,Rando Randal,M13,02. Groups - Matchday 2,0,0,4,6.2,-2.2
238,Rando Randal,M16,02. Groups - Matchday 2,0,0,4,6.8,-2.8
239,Rando Randal,M17,02. Groups - Matchday 2,0,0,4,6.9,-2.9000000000000004
240,Rando Randal,M20,02. Groups - Matchday 2,0,0,4,7.1,-3.0999999999999996
241,Rando Randal,M22,02. Groups - Matchday 2,0,0,4,8.8,-4.800000000000001
242,Rando Randal,M26,03. Groups - Matchday 3,1,1,5,9.3,-4.300000000000001
243,Rando Randal,M28,03. Groups - Matchday 3,0,0,5,10.0,-5.0
244,Rando Randal,M30,03. Groups - Matchday 3,0,0,5,10.1,-5.1
245,Rando Randal,M31,03. Groups - Matchday 3,0,0,5,10.2,-5.199999999999999
246,Rando Randal,M36,03. Groups - Matchday 3,0,0,5,11.8,-6.800000000000001
247,Rando Randal,M37,04. KO - Round of 16,0,0,5,14.1,-9.1
248,Rando Randal,M38,04. KO - Round of 16,0,0,5,14.3,-9.3
249,Rando Randal,M39,04. KO - Round of 16,1,1,6,15.7,-9.7
250,Rando Randal,M40,04. KO - Round of 16,0,0,6,15.7,-9.7
251,Rando Randal,M41,04. KO - Round of 16,0,0,6,15.7,-9.7
252,Rando Randal,M42,04. KO - Round of 16,1,1,7,16.8,-9.8
253,Rando Randal,M43,04. KO - Round of 16,0,0,7,17.2,-10.2
254,Rando Randal,M44,04. KO - Round of 16,0,0,7,17.2,-10.2
255,Rando Randal,M45,05. KO - Quarter Final,0,0,7,18.2,-11.2
256,Rando Randal,M46,05. KO - Quarter Final,0,0,7,18.4,-11.399999999999999
257,Rando Randal,M47,05. KO - Quarter Final,0,0,7,20.7,-13.7
258,Rando Randal,M48,05. KO - Quarter Final,0,0,7,21.3,-14.3
259,Rando Randal,M49,06. KO - Semi Final,1,2,9,23.1,-14.100000000000001
260,Rando Randal,M50,06. KO - Semi Final,1,1,10,23.9,-13.899999999999999
261,Tom,M01,01. Groups - Matchday 1,1,1,1,1.6,-0.6000000000000001
262,Tom,M03,01. Groups - Matchday 1,0,0,1,2.2,-1.2000000000000002
263,Tom,M05,01. Groups - Matchday 1,1,2,3,3.9,-0.8999999999999999
264,Tom,M08,01. Groups - Matchday 1,1,1,4,4.8,-0.7999999999999998
265,Tom,M12,01. Groups - Matchday 1,1,1,5,6.2,-1.2000000000000002
266,Tom,M13,02. Groups - Matchday 2,0,0,5,6.2,-1.2000000000000002
267,Tom,M16,02. Groups - Matchday 2,1,1,6,6.8,-0.7999999999999998
268,Tom,M17,02. Groups - Matchday 2,0,0,6,6.9,-0.9000000000000004
269,Tom,M20,02. Groups - Matchday 2,0,0,6,7.1,-1.0999999999999996
270,Tom,M22,02. Groups - Matchday 2,1,1,7,8.8,-1.8000000000000007
271,Tom,M26,03. Groups - Matchday 3,0,0,7,9.3,-2.3000000000000007
272,Tom,M28,03. Groups - Matchday 3,3,3,10,10.0,0.0
273,Tom,M30,03. Groups - Matchday 3,0,0,10,10.1,-0.09999999999999964
274,Tom,M31,03. Groups - Matchday 3,1,1,11,10.2,0.8000000000000007
275,Tom,M36,03. Groups - Matchday 3,1,1,12,11.8,0.1999999999999993
276,Tom,M37,04. KO - Round of 16,3,3,15,14.1,0.9000000000000004
277,Tom,M38,04. KO - Round of 16,0,0,15,14.3,0.6999999999999993
278,Tom,M39,04. KO - Round of 16,1,1,16,15.7,0.3000000000000007
279,Tom,M40,04. KO - Round of 16,0,0,16,15.7,0.3000000000000007
280,Tom,M41,04. KO - Round of 16,0,0,16,15.7,0.3000000000000007
281,Tom,M42,04. KO - Round of 16,0,0,16,16.8,-0.8000000000000007
282,Tom,M43,04. KO - Round of 16,0,0,16,17.2,-1.1999999999999993
283,Tom,M44,04. KO - Round of 16,0,0,16,17.2,-1.1999999999999993
284,Tom,M45,05. KO - Quarter Final,3,3,19,18.2,0.8000000000000007
285,Tom,M46,05. KO - Quarter Final,0,0,19,18.4,0.6000000000000014
286,Tom,M47,05. KO - Quarter Final,0,0,19,20.7,-1.6999999999999993
287,Tom,M48,05. KO - Quarter Final,0,0,19,21.3,-2.3000000000000007
288,Tom,M49,06. KO - Semi Final,0,0,19,23.1,-4.100000000000001
289,Tom,M50,06. KO - Semi Final,0,0,19,23.9,-4.899999999999999
